,0,1,2,3,4,5,6,7,8,9
1,0.0,0.018436578171091445,0.03687315634218289,14.030235988200591,37.2787610619469,24.926253687315633,19.948377581120944,3.5951327433628317,0.16592920353982302,0.0
2,0.0,0.018681113394358302,0.0,15.07565850924715,35.81169437698487,24.957967494862693,19.839342424808518,3.9977582663926774,0.29889781430973283,0.0
3,0.0,0.0,0.018542555164101613,14.407565362506952,36.45466345262377,25.329130354162803,20.081587242722048,3.4303727053587987,0.2781383274615242,0.0
4,0.0,0.0,0.0,15.007347538574578,37.454077883908894,24.650991917707568,18.919911829537106,3.7105069801616457,0.2571638501102131,0.0
5,0.0,0.0,0.0,15.832710978342046,36.669156086631816,24.626587005227783,19.342793129200896,3.3047050037341297,0.22404779686333084,0.0
6,0.0,0.0,0.0,14.812744550027949,37.823737656046205,23.812185578535495,20.085708962176263,3.0743432084963667,0.3912800447177194,0.0
7,0.0,0.0,0.0,14.91031390134529,37.649476831091185,24.177877428998507,19.43198804185351,3.4005979073243644,0.429745889387145,0.0
8,0.0,0.0,0.0373134328358209,15.130597014925373,37.44402985074627,23.88059701492537,19.55223880597015,3.6194029850746268,0.33582089552238803,0.0
9,0.0,0.0,0.0,14.702060516057175,37.627622053090775,23.85372192314832,19.491368108409134,3.898273621681827,0.4269537776127714,0.0
10,0.0,0.018508236165093468,0.037016472330186935,14.825097168239868,37.70127706829539,24.597445863409217,19.2670738478623,3.25744956505645,0.2961317786414955,0.0
mean,0.0,0.005562592773054322,0.012974561667229234,14.873433152746696,37.19144963213661,24.48127582682934,19.596038997366087,3.5288542986643714,0.31041093781661433,0.0
std,0.0,0.008497186797206183,0.016681052124630162,0.44832330484102134,0.6260599087129171,0.5001882840439804,0.36443922162498393,0.2754202704550317,0.08219204727868079,0.0
dispersion,0.0,7.220218346661508e-05,0.0002782574999846284,0.20099378566357537,0.391951009297626,0.25018831949486164,0.13281594625862417,0.07585632537752282,0.0067555326358608985,0.0
